memberStateCode,memberStateName,beginDate,endDate,price,unit,weekNumber,product,variety,description,variety_name,calorie,,,,,
PT,Portugal,21/10/2024,27/10/2024,95,100KG,43,apples,Red delicious (et autres rouges) - Cat. I - Cal. 70-80,Portugal - apples - Red delicious (et autres rouges) - Cat. I - Cal. 70-80,Red delicious (et autres rouges),70-80,,,,,
PT,Portugal,21/10/2024,27/10/2024,105,100KG,43,apples,Gala - Cat . I - Cal . 65-70,Portugal - apples - Gala - Cat . I - Cal . 65-70,Gala,65-70,,,,,
PT,Portugal,21/10/2024,27/10/2024,100,100KG,43,apples,Fuji - Cat. I - Cal. 70-80,Portugal - apples - Fuji - Cat. I - Cal. 70-80,Fuji,70-80,,,,,
PT,Portugal,21/10/2024,27/10/2024,83,100KG,43,oranges,Valencia late - Cat. I - Cal. 2-4,Portugal - oranges - Valencia late - Cat. I - Cal. 2-4,Valencia late,2-4,,,,,
PT,Portugal,21/10/2024,27/10/2024,95,100KG,43,apples,Golden delicious - Cat. I - Cal. 70-80,Portugal - apples - Golden delicious - Cat. I - Cal. 70-80,Golden delicious,70-80,,,,,
FR,France,14/10/2024,20/10/2024,170,100KG,42,pears,"Williams (Bon Chrétien) - Cat. I - Size 65+/75+, packs of around 5-10 kg","France - pears - Williams (Bon Chrétien) - Cat. I - Size 65+/75+, packs of around 5-10 kg",Williams (Bon Chrétien),65+/75+,,,,,
FR,France,14/10/2024,20/10/2024,138,100KG,42,apples,Elstar - Cat. I - Cal. 65-70,France - apples - Elstar - Cat. I - Cal. 65-70,Elstar,65-70,,,,,
FR,France,14/10/2024,20/10/2024,137.5,100KG,42,apples,Granny smith - Cat. I - Cal. 70-80,France - apples - Granny smith - Cat. I - Cal. 70-80,Granny smith,70-80,,,,,
FR,France,14/10/2024,20/10/2024,134,100KG,42,apples,Golden delicious - Cat. I - Cal. 70-80,France - apples - Golden delicious - Cat. I - Cal. 70-80,Golden delicious,70-80,,,,,
FR,France,14/10/2024,20/10/2024,123.5,100KG,42,apples,Gala - Cat . I - Cal . 65-70,France - apples - Gala - Cat . I - Cal . 65-70,Gala,65-70,,,,,
PT,Portugal,14/10/2024,20/10/2024,168,100KG,42,pears,"Rocha - Cat. I - Size 65+/75+, packs of around 5-10 kg","Portugal - pears - Rocha - Cat. I - Size 65+/75+, packs of around 5-10 kg",Rocha,65+/75+,,,,,
PT,Portugal,14/10/2024,20/10/2024,95,100KG,42,apples,Red delicious (et autres rouges) - Cat. I - Cal. 70-80,Portugal - apples - Red delicious (et autres rouges) - Cat. I - Cal. 70-80,Red delicious (et autres rouges),70-80,,,,,
PT,Portugal,14/10/2024,20/10/2024,105,100KG,42,apples,Gala - Cat . I - Cal . 65-70,Portugal - apples - Gala - Cat . I - Cal . 65-70,Gala,65-70,,,,,
PT,Portugal,14/10/2024,20/10/2024,100,100KG,42,apples,Fuji - Cat. I - Cal. 70-80,Portugal - apples - Fuji - Cat. I - Cal. 70-80,Fuji,70-80,,,,,
PT,Portugal,14/10/2024,20/10/2024,83,100KG,42,oranges,Valencia late - Cat. I - Cal. 2-4,Portugal - oranges - Valencia late - Cat. I - Cal. 2-4,Valencia late,2-4,,,,,
PT,Portugal,14/10/2024,20/10/2024,95,100KG,42,apples,Golden delicious - Cat. I - Cal. 70-80,Portugal - apples - Golden delicious - Cat. I - Cal. 70-80,Golden delicious,70-80,,,,,
FR,France,7/10/2024,13/10/2024,124,100KG,41,apples,Gala - Cat . I - Cal . 65-70,France - apples - Gala - Cat . I - Cal . 65-70,Gala,65-70,,,,,
FR,France,7/10/2024,13/10/2024,139,100KG,41,apples,Golden delicious - Cat. I - Cal. 70-80,France - apples - Golden delicious - Cat. I - Cal. 70-80,Golden delicious,70-80,,,,,
FR,France,7/10/2024,13/10/2024,138,100KG,41,apples,Granny smith - Cat. I - Cal. 70-80,France - apples - Granny smith - Cat. I - Cal. 70-80,Granny smith,70-80,,,,,
FR,France,7/10/2024,13/10/2024,137,100KG,41,apples,Elstar - Cat. I - Cal. 65-70,France - apples - Elstar - Cat. I - Cal. 65-70,Elstar,65-70,,,,,
FR,France,7/10/2024,13/10/2024,171.5,100KG,41,pears,"Williams (Bon Chrétien) - Cat. I - Size 65+/75+, packs of around 5-10 kg","France - pears - Williams (Bon Chrétien) - Cat. I - Size 65+/75+, packs of around 5-10 kg",Williams (Bon Chrétien),65+/75+,,,,,
NL,Netherlands,7/10/2024,13/10/2024,106.59,100KG,41,apples,Jonagold (ou Jonagored) - Cat. I - Cal . 70-80,Netherlands - apples - Jonagold (ou Jonagored) - Cat. I - Cal . 70-80,Jonagold (ou Jonagored),70-80,,,,,
NL,Netherlands,7/10/2024,13/10/2024,109.13,100KG,41,pears,"Conference - Cat. I - Size 60/65+, packs of around 5-10 kg","Netherlands - pears - Conference - Cat. I - Size 60/65+, packs of around 5-10 kg",Conference,60/65+,,,,,
NL,Netherlands,7/10/2024,13/10/2024,111.84,100KG,41,apples,Elstar - Cat. I - Cal. 65-70,Netherlands - apples - Elstar - Cat. I - Cal. 65-70,Elstar,65-70,,,,,
PT,Portugal,7/10/2024,13/10/2024,95,100KG,41,apples,Red delicious (et autres rouges) - Cat. I - Cal. 70-80,Portugal - apples - Red delicious (et autres rouges) - Cat. I - Cal. 70-80,Red delicious (et autres rouges),70-80,,,,,
PT,Portugal,7/10/2024,13/10/2024,165,100KG,41,pears,"Rocha - Cat. I - Size 65+/75+, packs of around 5-10 kg","Portugal - pears - Rocha - Cat. I - Size 65+/75+, packs of around 5-10 kg",Rocha,65+/75+,,,,,
PT,Portugal,7/10/2024,13/10/2024,95,100KG,41,apples,Golden delicious - Cat. I - Cal. 70-80,Portugal - apples - Golden delicious - Cat. I - Cal. 70-80,Golden delicious,70-80,,,,,
PT,Portugal,7/10/2024,13/10/2024,105,100KG,41,apples,Gala - Cat . I - Cal . 65-70,Portugal - apples - Gala - Cat . I - Cal . 65-70,Gala,65-70,,,,,
PT,Portugal,7/10/2024,13/10/2024,100,100KG,41,apples,Fuji - Cat. I - Cal. 70-80,Portugal - apples - Fuji - Cat. I - Cal. 70-80,Fuji,70-80,,,,,
PT,Portugal,7/10/2024,13/10/2024,83,100KG,41,oranges,Valencia late - Cat. I - Cal. 2-4,Portugal - oranges - Valencia late - Cat. I - Cal. 2-4,Valencia late,2-4,,,,,
FR,France,30/09/2024,6/10/2024,125,100KG,40,apples,Gala - Cat . I - Cal . 65-70,France - apples - Gala - Cat . I - Cal . 65-70,Gala,65-70,,,,,
FR,France,30/09/2024,6/10/2024,172.5,100KG,40,pears,"Williams (Bon Chrétien) - Cat. I - Size 65+/75+, packs of around 5-10 kg","France - pears - Williams (Bon Chrétien) - Cat. I - Size 65+/75+, packs of around 5-10 kg",Williams (Bon Chrétien),65+/75+,,,,,
FR,France,30/09/2024,6/10/2024,137,100KG,40,apples,Elstar - Cat. I - Cal. 65-70,France - apples - Elstar - Cat. I - Cal. 65-70,Elstar,65-70,,,,,
FR,France,30/09/2024,6/10/2024,137.5,100KG,40,apples,Granny smith - Cat. I - Cal. 70-80,France - apples - Granny smith - Cat. I - Cal. 70-80,Granny smith,70-80,,,,,
FR,France,30/09/2024,6/10/2024,141.5,100KG,40,apples,Golden delicious - Cat. I - Cal. 70-80,France - apples - Golden delicious - Cat. I - Cal. 70-80,Golden delicious,70-80,,,,,
